ID,Name,BP,N,m_edges,n1,n2,n3,n4,DRSO,mDRSO,SO,SDD,M1,M2,Randic,ABC,GA,R_equal,R_2,R_3,R_4,R_3_2,R_4_3,m12,m13,m14,m22,m23,m24,m33,m34,m44,WL_hash,sig_DRSO,sig_SDD,sig_SO
51,"3,4-dimethylheptane",413.25,9,8,4,3,2,0,16.271408776387496,4.265360617127849,25.078861638129794,20.0,34.0,35.0,4.218744015013407,5.835193734454857,7.577260684959546,2,2,2,0,2,0,2,2,0,1,2,0,1,0,0,c26a73cdcfd8c062392732ae174f1fd4,"(2, 2, 2, 0, 2, 0)",20/1,"(0, 5, 2, 2, 2, 0)"
52,"3,5-dimethylheptane",409.15,9,8,4,3,2,0,16.72593425224001,4.069562452915096,25.218896377192294,20.333333333333332,34.0,34.0,4.201907262607799,5.875633848974738,7.536852479186088,0,2,2,0,4,0,2,2,0,0,4,0,0,0,0,9154b926c2712739ec6b3101d8b4f824,"(0, 2, 2, 0, 4, 0)",61/3,"(0, 0, 2, 2, 4, 0)"
53,"4,4-dimethylheptane",408.35,9,8,4,4,0,1,19.09024814692221,3.8535248519052026,27.31947336572644,22.5,36.0,36.0,4.121320343559642,5.974691494688163,7.371236166328254,2,4,0,2,0,0,2,0,2,2,0,2,0,0,0,77061181a41d0921fa5be1aa484ec33b,"(2, 4, 0, 2, 0, 0)",45/2,"(0, 4, 6, 0, 0, 2)"
54,3-ethylheptane,416.15,9,8,3,5,1,0,13.937514464070736,4.697050409831607,23.18171200838372,18.0,32.0,32.0,4.346065214951231,5.6568542494923815,7.767814816086004,2,3,0,0,3,0,3,0,0,2,3,0,0,0,0,71064b154701b7618121ed0624c4e81d,"(2, 3, 0, 0, 3, 0)",18/1,"(0, 4, 3, 0, 3, 0)"
55,4-ethylheptane,414.35,9,8,3,5,1,0,13.937514464070736,4.697050409831607,23.18171200838372,18.0,32.0,32.0,4.346065214951231,5.6568542494923815,7.767814816086004,2,3,0,0,3,0,3,0,0,2,3,0,0,0,0,a7b36f011b72a6933d56d6506dfa06db,"(2, 3, 0, 0, 3, 0)",18/1,"(0, 4, 3, 0, 3, 0)"
56,"2,2,3-trimethylhexane",404.85,9,8,5,2,1,1,21.688915690495282,3.534901395269503,29.201640914731332,24.833333333333332,38.0,39.0,3.981380475434849,6.181390360208588,7.17837366109056,1,1,1,3,1,1,1,1,3,1,1,0,0,1,0,823a2dbc278caf46d1deb593c45f9611,"(1, 1, 1, 3, 1, 1)",149/6,"(5, 2, 1, 1, 1, 3)"
57,"2,2,4-trimethylhexane",399.65,9,8,5,2,1,1,22.447934595339884,3.2683919103923804,29.450901020448708,25.416666666666668,38.0,37.0,3.954507021897173,6.242999917027233,7.111235281175107,0,2,1,3,2,0,1,1,3,0,2,1,0,0,0,af98d332eff780fc55d0d8477df54b52,"(0, 2, 1, 3, 2, 0)",305/12,"(0, 0, 3, 1, 2, 3)"
58,"2,2,5-trimethylhexane",397.15,9,8,5,2,1,1,23.177580757317273,3.21251432065063,29.5999865523995,26.083333333333332,38.0,36.0,3.9165022194363885,6.352389716768411,7.054655746264211,1,1,2,3,1,0,0,2,3,1,1,1,0,0,0,1290a8cdd2680e6e8a4c3d593eeb91d2,"(1, 1, 2, 3, 1, 0)",313/12,"(0, 2, 2, 2, 1, 3)"
59,"2,3,3-trimethylhexane",410.85,9,8,5,2,1,1,21.119649030246883,3.492546379865815,29.107397628817644,24.25,38.0,40.0,4.004035844753886,6.131861537351876,7.207412209343791,1,2,2,2,0,1,1,2,2,1,0,1,0,1,0,37918d5035b2d927fe0e756d86c5b553,"(1, 2, 2, 2, 0, 1)",97/4,"(5, 2, 3, 2, 0, 2)"
60,"2,3,4-trimethylhexane",412.15,9,8,5,1,3,0,18.60530308870426,3.8336708244240905,26.97601126787586,22.0,36.0,38.0,4.09142281507558,6.013533219417333,7.386706553833089,2,1,4,0,1,0,1,4,0,0,1,0,2,0,0,4571f8e062bfca4261d0d688f7761bb5,"(2, 1, 4, 0, 1, 0)",22/1,"(0, 6, 1, 4, 1, 0)"
